metric,ResponseID,rank,score
degree_centrality,87,1,0.8333333333333334
degree_centrality,114,1,0.8333333333333334
degree_centrality,67,3,0.8222222222222223
degree_centrality,77,3,0.8222222222222223
degree_centrality,83,3,0.8222222222222223
degree_centrality,94,6,0.8111111111111111
degree_centrality,30,7,0.788888888888889
degree_centrality,50,7,0.788888888888889
degree_centrality,55,7,0.788888888888889
degree_centrality,81,7,0.788888888888889
closeness_centrality,87,1,0.9310344827586207
closeness_centrality,114,1,0.9310344827586207
closeness_centrality,67,3,0.9204545454545454
closeness_centrality,77,3,0.9204545454545454
closeness_centrality,83,3,0.9204545454545454
closeness_centrality,94,6,0.9101123595505618
closeness_centrality,30,7,0.8901098901098901
closeness_centrality,50,7,0.8901098901098901
closeness_centrality,55,7,0.8901098901098901
closeness_centrality,81,7,0.8901098901098901
betweenness_centrality,55,1,0.03129027107442059
betweenness_centrality,53,2,0.029567667588601146
betweenness_centrality,87,3,0.018803315447271617
betweenness_centrality,95,4,0.017509384142928703
betweenness_centrality,50,5,0.017336131914054774
betweenness_centrality,83,6,0.015801062948885038
betweenness_centrality,114,7,0.013838433595673548
betweenness_centrality,67,8,0.013690773022289856
betweenness_centrality,77,9,0.012120114389070565
betweenness_centrality,39,10,0.011351201540115069
eigenvector_centrality,114,1,0.14946641643942013
eigenvector_centrality,87,2,0.14829386655512306
eigenvector_centrality,67,3,0.1481465747849059
eigenvector_centrality,94,4,0.14657994495822996
eigenvector_centrality,77,5,0.14654928872994158
eigenvector_centrality,110,6,0.14597933271383493
eigenvector_centrality,105,7,0.14584981261431898
eigenvector_centrality,83,8,0.14554998910510455
eigenvector_centrality,81,9,0.14479520211781796
eigenvector_centrality,50,10,0.14302625182380327
pagerank,87,1,0.01819509659478741
pagerank,55,2,0.018084696290078767
pagerank,114,3,0.017962670587271506
pagerank,67,4,0.01782273098095563
pagerank,83,5,0.01760373688125392
pagerank,77,6,0.017587646823707535
pagerank,94,7,0.017290391821286933
pagerank,50,8,0.017210876496718014
pagerank,81,9,0.016926268907618083
pagerank,105,10,0.01684868764678879
harmonic_centrality,87,1,78.0
harmonic_centrality,114,1,78.0
harmonic_centrality,67,3,77.5
harmonic_centrality,77,3,77.5
harmonic_centrality,83,3,77.5
harmonic_centrality,94,6,77.0
harmonic_centrality,30,7,76.0
harmonic_centrality,50,7,76.0
harmonic_centrality,55,7,76.0
harmonic_centrality,81,7,76.0
