scenario,node,degree,average_neighbor_degree,is_isolate,friendship_paradox_holds,neighbor_degree_minus_own
real_opinion_network,11,28,62.285714285714285,False,True,34.285714285714285
real_opinion_network,12,39,62.1025641025641,False,True,23.102564102564102
real_opinion_network,13,57,58.421052631578945,False,True,1.4210526315789451
real_opinion_network,14,50,61.4,False,True,11.399999999999999
real_opinion_network,16,46,61.26086956521739,False,True,15.26086956521739
real_opinion_network,17,9,63.333333333333336,False,True,54.333333333333336
real_opinion_network,18,50,61.26,False,True,11.259999999999998
real_opinion_network,19,52,60.07692307692308,False,True,8.07692307692308
real_opinion_network,20,56,60.57142857142857,False,True,4.571428571428569
real_opinion_network,21,68,56.544117647058826,False,False,-11.455882352941174
real_opinion_network,22,0,0.0,True,False,
real_opinion_network,24,11,59.27272727272727,False,True,48.27272727272727
real_opinion_network,26,29,65.62068965517241,False,True,36.62068965517241
real_opinion_network,29,50,62.08,False,True,12.079999999999998
real_opinion_network,30,71,54.66197183098591,False,False,-16.338028169014088
real_opinion_network,31,28,66.14285714285714,False,True,38.14285714285714
real_opinion_network,32,64,56.921875,False,False,-7.078125
real_opinion_network,35,55,60.018181818181816,False,True,5.018181818181816
real_opinion_network,36,0,0.0,True,False,
real_opinion_network,37,66,55.90909090909091,False,False,-10.090909090909093
real_opinion_network,38,70,54.9,False,False,-15.100000000000001
real_opinion_network,39,69,54.6231884057971,False,False,-14.376811594202898
real_opinion_network,40,45,60.6,False,True,15.600000000000001
real_opinion_network,41,69,55.47826086956522,False,False,-13.521739130434781
real_opinion_network,42,35,63.542857142857144,False,True,28.542857142857144
real_opinion_network,43,59,59.33898305084746,False,True,0.3389830508474603
real_opinion_network,45,48,59.895833333333336,False,True,11.895833333333336
real_opinion_network,46,65,57.261538461538464,False,False,-7.738461538461536
real_opinion_network,48,23,64.1304347826087,False,True,41.1304347826087
real_opinion_network,49,64,57.53125,False,False,-6.46875
real_opinion_network,50,71,54.57746478873239,False,False,-16.422535211267608
real_opinion_network,52,66,56.04545454545455,False,False,-9.954545454545453
real_opinion_network,53,63,57.20634920634921,False,False,-5.793650793650791
real_opinion_network,54,67,56.3134328358209,False,False,-10.686567164179102
real_opinion_network,55,71,54.88732394366197,False,False,-16.11267605633803
real_opinion_network,56,30,61.86666666666667,False,True,31.866666666666667
real_opinion_network,57,36,61.19444444444444,False,True,25.194444444444443
real_opinion_network,58,0,0.0,True,False,
real_opinion_network,59,30,63.1,False,True,33.1
real_opinion_network,61,61,59.24590163934426,False,False,-1.754098360655739
real_opinion_network,62,46,61.80434782608695,False,True,15.804347826086953
real_opinion_network,63,20,66.0,False,True,46.0
real_opinion_network,64,58,59.241379310344826,False,True,1.2413793103448256
real_opinion_network,65,3,61.666666666666664,False,True,58.666666666666664
