ResponseID,clustering_unweighted,clustering_weighted,degree_unweighted,degree_weighted
11,0.873015873015873,0.7170410663306861,28,21.066857291341254
12,0.9284750337381916,0.7714414439054949,39,30.001838759240037
13,0.8339598997493735,0.7110615967260434,57,45.77707410969171
14,0.9053061224489796,0.7602927750063555,50,39.24862379094939
16,0.8995169082125604,0.7536756177278103,46,35.85403112505913
17,1.0,0.818365113228954,9,6.748343054312934
18,0.9126530612244897,0.7623646068569637,50,39.028899429923236
19,0.8695324283559578,0.7300508792621961,52,40.80875214197217
20,0.8909090909090909,0.7562769643582123,56,44.71393482657294
21,0.7897278314310799,0.6865504006699731,68,56.4252575138275
22,0.0,0.0,0,0.0
24,0.9454545454545454,0.7666620749136939,11,8.243711283922666
26,0.9729064039408867,0.8047886217613986,29,22.083195991233836
29,0.92,0.7826599939264786,50,40.031251322516646
30,0.738430583501006,0.6392911399965179,71,58.54921714149227
31,0.9920634920634921,0.8297748284657659,28,21.545030547628432
32,0.7961309523809523,0.6834994023394593,64,51.95932444124826
35,0.8727272727272727,0.7412116095554586,55,43.92960648106617
36,0.0,0.0,0,0.0
37,0.7706293706293706,0.668674385928823,66,54.37741393013663
38,0.744927536231884,0.6415748127319234,70,57.160977915616066
39,0.7348678601875532,0.6287602543188238,69,55.73171219353522
40,0.8929292929292929,0.7495802064090699,45,35.36342592529395
41,0.7612958226768969,0.6647710652860089,69,57.56959546607569
42,0.9378151260504202,0.7841154273510481,35,27.103319650145533
43,0.8620689655172413,0.7215562508864639,59,46.254063189697064
45,0.8652482269503546,0.7249382041906323,48,37.518196745418926
46,0.8081730769230769,0.6876175090326202,65,52.21591347374183
48,0.9486166007905138,0.7835720715339176,23,17.481609627330922
49,0.8154761904761905,0.7079753193393017,64,52.94165210364915
50,0.7360160965794769,0.641905777522245,71,59.00995249141127
52,0.7743589743589744,0.6658191764866329,66,53.81377395665315
53,0.8054275473630312,0.6915968602701063,63,51.22465151576781
54,0.7838082315694256,0.6746888591050826,67,54.66962421843516
55,0.7440643863179075,0.646255693749661,71,58.651524104721695
56,0.9103448275862069,0.7570914025797244,30,23.158547716858916
57,0.8984126984126984,0.7505628681680617,36,27.96217099483889
58,0.0,0.0,0,0.0
59,0.9356321839080459,0.7775147222273291,30,23.051000059825228
61,0.860655737704918,0.7465044022826526,61,50.41339855659289
62,0.923671497584541,0.7768833078814074,46,36.19858215235386
63,0.9842105263157894,0.8059749744508843,20,15.01621616866697
64,0.8572292800967937,0.7261341164836177,58,46.2262745029456
65,1.0,0.8158551074738022,3,2.22013333540099
66,0.8289810547875064,0.7134064684214545,63,51.50458889337566
67,0.7082562014068864,0.6228197080330172,74,62.20015820587407
69,0.9424242424242424,0.781548050661867,45,34.62307149234199
70,0.7382779198635976,0.6298683123170489,69,55.53891804054095
72,0.9488966318234611,0.8010297887197328,42,33.08637259236299
74,0.8846153846153846,0.7447328910058322,53,41.84202762491093
77,0.7115883006293965,0.6201756044440875,74,61.49057131197243
79,0.89198606271777,0.7426951610069651,42,32.5890398028264
80,0.8572549019607844,0.7211606589493941,51,40.140977290376306
81,0.744466800804829,0.652375364401242,71,59.438237173615356
82,0.8949019607843137,0.7544128673934593,51,40.287602194688944
83,0.7086264346538319,0.6156236435915573,74,61.08452675434648
84,0.0,0.0,1,0.7477542676736161
85,0.0,0.0,1,0.7354829935548832
86,0.9243197278911565,0.7851458944857361,49,39.115975352090956
87,0.6940540540540541,0.6092125693639951,75,62.8437786616011
89,0.0,0.0,0,0.0
90,0.872278664731495,0.748016402519897,53,42.90294715396364
91,0.8009615384615385,0.6927463291390445,65,53.435624044117816
92,0.839344262295082,0.7114367607365929,61,48.73554763144596
93,1.0,0.8035846203508061,5,3.700271848171589
94,0.723744292237443,0.6330980468819492,73,60.91568412315006
95,0.7748251748251749,0.6676312594845484,66,53.85542096291764
97,0.7756804214223003,0.670698711606003,68,55.842106841246945
99,0.763000852514919,0.6595028829808823,69,56.62417441985085
101,0.8421052631578947,0.7117935243302166,58,46.03546548926104
102,0.866938775510204,0.7237478465693095,50,38.96236389819336
103,0.9554655870445344,0.794823869784148,39,30.082676341151718
104,0.7686567164179104,0.6663719689899454,68,55.98362582380414
105,0.7537223340040241,0.6608352248982758,71,59.551704984514465
106,0.9203778677462888,0.76929597752929,39,30.211793919271415
108,0.8453551912568306,0.7226601380351528,61,49.36900886591608
109,0.9672830725462305,0.8041886927096843,38,29.209093911660386
110,0.7681159420289855,0.676036370214742,70,59.04567484885303
111,0.9913419913419913,0.8154600041106875,22,16.68803468280383
113,0.9315789473684211,0.7684439002737055,20,15.185503214468485
114,0.7005405405405405,0.6161120796116867,75,62.9753848791891
115,1.0,0.819408104489418,8,5.919133739427785
116,0.9379217273954116,0.786403956210563,39,30.398343044055192
117,0.0,0.0,0,0.0
118,0.8508196721311475,0.7208780041616569,61,48.75598286144738
119,0.0,0.0,0,0.0
120,0.0,0.0,0,0.0
121,0.9094202898550725,0.744496593665762,24,18.08989294078148
123,0.0,0.0,0,0.0
125,0.0,0.0,0,0.0
126,0.7932203389830509,0.6657363162254165,60,47.18631902388676
