ResponseID,missing_count,missing_pct,flagged_gt_50pct
11,0,0.0,False
12,1,1.7,False
13,0,0.0,False
14,0,0.0,False
16,0,0.0,False
17,0,0.0,False
18,0,0.0,False
19,1,1.7,False
20,0,0.0,False
21,0,0.0,False
22,0,0.0,False
24,3,5.0,False
26,0,0.0,False
29,0,0.0,False
30,45,75.0,True
31,0,0.0,False
32,1,1.7,False
35,0,0.0,False
36,0,0.0,False
37,0,0.0,False
38,0,0.0,False
39,45,75.0,True
40,2,3.3,False
41,0,0.0,False
42,3,5.0,False
43,0,0.0,False
44,60,100.0,True
45,0,0.0,False
46,0,0.0,False
48,0,0.0,False
49,0,0.0,False
50,0,0.0,False
52,0,0.0,False
53,0,0.0,False
54,0,0.0,False
55,0,0.0,False
56,0,0.0,False
57,0,0.0,False
58,0,0.0,False
59,0,0.0,False
60,60,100.0,True
61,0,0.0,False
62,0,0.0,False
63,0,0.0,False
64,0,0.0,False
65,0,0.0,False
66,0,0.0,False
67,0,0.0,False
68,60,100.0,True
69,1,1.7,False
70,0,0.0,False
72,0,0.0,False
73,60,100.0,True
74,0,0.0,False
77,45,75.0,True
78,60,100.0,True
79,15,25.0,False
80,0,0.0,False
81,3,5.0,False
82,0,0.0,False
83,0,0.0,False
84,1,1.7,False
85,0,0.0,False
86,0,0.0,False
87,45,75.0,True
89,0,0.0,False
90,0,0.0,False
91,0,0.0,False
92,4,6.7,False
93,2,3.3,False
94,0,0.0,False
95,2,3.3,False
97,0,0.0,False
99,0,0.0,False
101,0,0.0,False
102,2,3.3,False
103,2,3.3,False
104,0,0.0,False
105,0,0.0,False
106,0,0.0,False
108,0,0.0,False
109,0,0.0,False
110,0,0.0,False
111,0,0.0,False
113,0,0.0,False
114,0,0.0,False
115,0,0.0,False
116,0,0.0,False
117,0,0.0,False
118,1,1.7,False
119,0,0.0,False
120,4,6.7,False
121,0,0.0,False
123,10,16.7,False
125,4,6.7,False
126,0,0.0,False
