ResponseID,T,E,S,V
11,0.8,0.8,0.9333333333333333,0.5333333333333333
12,0.5333333333333333,0.9333333333333333,0.6,0.8
13,0.9333333333333333,1.0666666666666667,1.3333333333333333,1.6666666666666667
14,0.8,0.6,1.1333333333333333,1.2
16,1.2,0.6666666666666666,1.2666666666666666,1.2666666666666666
17,1.2666666666666666,0.3333333333333333,1.0,1.3333333333333333
18,0.26666666666666666,0.7333333333333333,1.2666666666666666,1.3333333333333333
19,0.7333333333333333,1.2,1.0,1.8
20,1.0,0.9333333333333333,1.5333333333333334,1.8666666666666667
21,0.8666666666666667,1.5333333333333334,1.9333333333333333,2.0
22,0.4,0.8,0.7333333333333333,1.0
24,0.8,0.4666666666666667,1.0,1.0
26,1.4,0.9333333333333333,1.4,1.2666666666666666
29,1.2,0.9333333333333333,1.7333333333333334,2.0
30,1.0666666666666667,1.0666666666666667,1.3333333333333333,1.6666666666666667
31,0.8,1.4,1.1333333333333333,1.0
32,1.3333333333333333,1.0,1.3333333333333333,1.2666666666666666
35,1.4,0.4666666666666667,1.0,1.9333333333333333
36,1.2666666666666666,0.4,0.7333333333333333,1.2
37,1.5333333333333334,1.2,1.6,1.8666666666666667
38,1.1333333333333333,1.2666666666666666,1.2666666666666666,1.6
39,0.4,1.0666666666666667,1.3333333333333333,1.6666666666666667
40,1.1333333333333333,1.1333333333333333,1.7333333333333334,1.8666666666666667
41,2.0,1.2,2.0,1.8666666666666667
42,0.9333333333333333,1.1333333333333333,0.9333333333333333,1.3333333333333333
43,1.0,0.6,1.2,1.8
45,0.4,1.2,1.2666666666666666,1.2
46,0.8,0.9333333333333333,1.4,1.0
48,0.8,1.0,0.9333333333333333,1.6666666666666667
49,0.8666666666666667,1.0,1.6,1.7333333333333334
50,1.6666666666666667,1.1333333333333333,1.9333333333333333,1.5333333333333334
52,1.5333333333333334,1.3333333333333333,1.7333333333333334,1.2
53,1.2,1.1333333333333333,1.4666666666666666,1.6
54,1.4666666666666666,1.0666666666666667,1.6666666666666667,2.0
55,1.0666666666666667,0.8666666666666667,1.8,1.6666666666666667
56,0.9333333333333333,0.8,1.2,1.0666666666666667
57,0.5333333333333333,0.7333333333333333,1.8,1.6666666666666667
58,1.2,0.4,0.4666666666666667,0.6666666666666666
59,0.9333333333333333,1.1333333333333333,1.0,1.4
61,0.8666666666666667,0.8,1.8,1.6666666666666667
62,1.4666666666666666,0.6666666666666666,1.8,1.7333333333333334
63,0.8,1.2,1.4666666666666666,1.0
64,1.1333333333333333,0.9333333333333333,0.8666666666666667,1.4
65,0.8,0.9333333333333333,0.7333333333333333,0.9333333333333333
66,1.2,1.0,1.5333333333333334,1.6
67,1.1333333333333333,1.3333333333333333,1.7333333333333334,1.6666666666666667
69,0.8,1.1333333333333333,1.0666666666666667,1.4
70,0.8,1.0666666666666667,1.6,1.0
72,0.6666666666666666,1.2,1.5333333333333334,1.4
74,1.2666666666666666,1.0666666666666667,1.5333333333333334,1.4666666666666666
77,0.5333333333333333,1.0666666666666667,1.3333333333333333,1.6666666666666667
79,1.0,0.7333333333333333,1.0,1.6666666666666667
80,0.9333333333333333,0.7333333333333333,1.7333333333333334,1.2
81,1.2,0.8666666666666667,1.9333333333333333,1.9333333333333333
82,1.0,0.7333333333333333,1.5333333333333334,2.0
83,1.4666666666666666,0.9333333333333333,1.7333333333333334,1.7333333333333334
84,0.5333333333333333,0.8666666666666667,0.7333333333333333,2.0
85,0.4,0.26666666666666666,1.0666666666666667,1.2666666666666666
86,1.0,0.9333333333333333,1.6666666666666667,1.7333333333333334
87,1.2,1.0666666666666667,1.3333333333333333,1.6666666666666667
89,0.5333333333333333,0.8,0.4666666666666667,1.4666666666666666
90,0.6,1.0666666666666667,1.0,1.0
91,0.6666666666666666,0.7333333333333333,0.9333333333333333,1.0
92,0.6666666666666666,1.0666666666666667,1.4666666666666666,1.8
93,0.8666666666666667,-0.06666666666666667,1.2,0.8
94,1.4666666666666666,1.5333333333333334,2.0,2.0
95,1.2666666666666666,0.8666666666666667,1.7333333333333334,1.6666666666666667
97,1.4666666666666666,0.9333333333333333,1.6,1.8
99,0.9333333333333333,0.9333333333333333,1.2,1.2
101,1.4666666666666666,1.4666666666666666,1.3333333333333333,1.1333333333333333
102,1.0666666666666667,0.6666666666666666,1.1333333333333333,1.2
103,1.1333333333333333,0.7333333333333333,0.8666666666666667,1.3333333333333333
104,1.0,1.0,1.6,1.8666666666666667
105,1.2666666666666666,1.5333333333333334,1.8,1.8666666666666667
106,0.5333333333333333,0.9333333333333333,1.2,1.3333333333333333
108,1.1333333333333333,1.4666666666666666,1.8666666666666667,2.0
109,0.8666666666666667,1.0666666666666667,1.4,0.8666666666666667
110,1.2,1.5333333333333334,2.0,2.0
111,1.2666666666666666,0.13333333333333333,1.6666666666666667,1.0
113,1.0,0.9333333333333333,0.8,0.8
114,1.4666666666666666,1.0666666666666667,1.6666666666666667,1.9333333333333333
115,0.6,1.0,0.8,1.0
116,1.6666666666666667,1.3333333333333333,1.2666666666666666,1.2
117,0.6666666666666666,0.5333333333333333,0.5333333333333333,1.0666666666666667
118,1.0,0.9333333333333333,1.1333333333333333,1.4666666666666666
119,0.8,0.0,0.06666666666666667,0.2
120,-0.4,-0.06666666666666667,0.06666666666666667,-0.06666666666666667
121,0.8666666666666667,0.9333333333333333,1.1333333333333333,1.0
123,0.5333333333333333,1.0,0.5333333333333333,1.1333333333333333
125,1.2,0.3333333333333333,0.9333333333333333,0.6666666666666666
126,1.1333333333333333,0.7333333333333333,1.0,1.2666666666666666
