ResponseID,degree,average_neighbor_degree,is_isolate
11,28,62.285714285714285,False
12,39,62.1025641025641,False
13,57,58.421052631578945,False
14,50,61.4,False
16,46,61.26086956521739,False
17,9,63.333333333333336,False
18,50,61.26,False
19,52,60.07692307692308,False
20,56,60.57142857142857,False
21,68,56.544117647058826,False
22,0,0.0,True
24,11,59.27272727272727,False
26,29,65.62068965517241,False
29,50,62.08,False
30,71,54.66197183098591,False
31,28,66.14285714285714,False
32,64,56.921875,False
35,55,60.018181818181816,False
36,0,0.0,True
37,66,55.90909090909091,False
38,70,54.9,False
39,69,54.6231884057971,False
40,45,60.6,False
41,69,55.47826086956522,False
42,35,63.542857142857144,False
43,59,59.33898305084746,False
45,48,59.895833333333336,False
46,65,57.261538461538464,False
48,23,64.1304347826087,False
49,64,57.53125,False
50,71,54.57746478873239,False
52,66,56.04545454545455,False
53,63,57.20634920634921,False
54,67,56.3134328358209,False
55,71,54.88732394366197,False
56,30,61.86666666666667,False
57,36,61.19444444444444,False
58,0,0.0,True
59,30,63.1,False
61,61,59.24590163934426,False
62,46,61.80434782608695,False
63,20,66.0,False
64,58,59.241379310344826,False
65,3,61.666666666666664,False
66,63,57.96825396825397,False
67,74,53.527027027027025,False
69,45,63.37777777777778,False
70,69,54.63768115942029,False
72,42,63.26190476190476,False
74,53,60.264150943396224,False
77,74,53.648648648648646,False
79,42,60.476190476190474,False
80,51,59.627450980392155,False
81,71,54.901408450704224,False
82,51,60.88235294117647,False
83,74,53.527027027027025,False
84,1,63.0,False
85,1,71.0,False
86,49,61.795918367346935,False
87,75,52.986666666666665,False
89,0,0.0,True
90,53,59.81132075471698,False
91,65,57.01538461538462,False
92,61,58.57377049180328,False
93,5,59.4,False
94,73,54.0958904109589,False
95,66,56.06060606060606,False
97,68,56.088235294117645,False
99,69,55.55072463768116,False
101,58,58.6551724137931,False
102,50,59.88,False
103,39,63.794871794871796,False
104,68,55.8235294117647,False
105,71,55.2112676056338,False
106,39,62.43589743589744,False
108,61,58.68852459016394,False
109,38,64.65789473684211,False
110,70,55.74285714285714,False
111,22,63.22727272727273,False
113,20,62.35,False
114,75,53.22666666666667,False
115,8,70.125,False
116,39,63.58974358974359,False
117,0,0.0,True
118,61,58.85245901639344,False
119,0,0.0,True
120,0,0.0,True
121,24,62.041666666666664,False
123,0,0.0,True
125,0,0.0,True
126,60,56.75,False
